Hour,Temperature,Energy
4710,21.939268092913885,2000
4711,22.200169024118345,2000
4712,22.20064286506209,2000
4713,23.898908419622597,2000
4714,23.898051202353624,2000
4715,23.898153687862756,2000
4716,23.898524988653282,2000
4717,23.899167339856806,2000
4718,23.898671634676493,2000
4719,23.898317241588785,2000
4720,23.898346729364278,2000
4721,23.89843074816543,2000
4722,23.898504850307265,2000
4723,23.89928751301689,2000
4724,23.093640201902232,2000
4725,23.766090790273704,2000
4726,23.33180756880974,2000
4727,23.01743164182148,2000
4728,22.72388005569717,2000
4729,22.48412227090463,2000
4730,22.276425170471523,2000
4731,22.087240659006547,2000
4732,21.923445662334576,2000
4733,21.807791762319614,2000
4734,21.992433660875058,2000
4735,22.19988577934625,2000
4736,22.199852154901976,2000
4737,23.8988490284996,2000
4738,23.89800390407512,2000
4739,23.8981405563965,2000
4740,23.898509779808684,2000
4741,23.899208386725835,2000
4742,23.898695711350808,2000
4743,23.898324352456136,2000
4744,23.898380881379694,2000
4745,23.898484737261843,2000
4746,23.898555062954685,2000
4747,23.89924735617305,2000
4748,22.963350629302408,2000
4749,23.641594288633666,2000
4750,23.172244266241254,2000
4751,22.828302101813854,2000
4752,22.59079492614807,2000
4753,22.394851906890075,2000
4754,22.21011144263946,2000
4755,22.075372014498555,2000
4756,21.94120197174247,2000
4757,21.850272848903614,2000
4758,22.044477985970822,2000
4759,22.20024612964736,2000
4760,22.19973470587427,2000
4761,23.898961944581366,2000
4762,23.89802398030101,2000
4763,23.898149096547456,2000
4764,23.89853385393983,2000
4765,23.899197256345303,2000
4766,23.89870170244596,2000
4767,23.898317606082497,2000
4768,23.89832999014664,2000
4769,23.898475830886163,2000
4770,23.898523295020823,2000
4771,23.899287243708002,2000
4772,22.999994743740086,2000
4773,23.66462571461843,2000
4774,23.218154022812048,2000
4775,22.91039933384387,2000
4776,22.65919032048595,2000
4777,22.443323679730973,2000
4778,22.214223518433236,2000
4779,22.049978003901355,2000
4780,21.902305862976345,2000
4781,21.80613321660969,2000
4782,21.993268928922195,2000
4783,22.200237530245154,2000
4784,22.20067119308009,2000
4785,23.898936793659715,2000
4786,23.898007804488685,2000
4787,23.898131230495004,2000
4788,23.898520690848642,2000
4789,23.89920196547316,2000
4790,23.898687902549135,2000
4791,23.898331751590213,2000
4792,23.89836854931091,2000
4793,23.8985022623645,2000
4794,23.898533813653643,2000
